"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Courses","0","Course Details","0","0","","0"
"0","End to End","0","User Journey","1","0","","0"
"0","","0","","2","0","","0"
"0","Authentication","0","Login Validation","2","0","","0"
"0","Search","0","Functionality","1","0","","0"
"0","Authentication","0","Signup","1","0","","0"
"0","Courses","0","Course Cards UI","1","0","","0"
"0","Authentication","0","Registration Validation","1","0","","0"
